uLabel,h1,h2,h3,h4,h5,ax,ay,az,uL dev_yaw,uL dev_pitch,uL dev_roll,uL Timestamp,uMyo1,uM1 d1,uM1 d2,uM1 d3,uM1 d4,uM1 d5,uM1 d6,uM1 d7,uM1 ds0,uM1 ds1,uM1 ds2,uM1 ds3,uM1 ax,uM1 ay,uM1 az,uM1 dev_yaw,uM1 dev_pitch,uM1 dev_roll,uM1 Timestamp,uMyo2,uM2 d1,uM2 d2,uM2 d3,uM2 d4,uM2 d5,uM2 d6,uM2 d7,uM2 ds0,uM2 ds1,uM2 ds2,uM2 ds3,uM2 ax,uM2 ay,uM2 az,uM2 dev_yaw,uM2 dev_pitch,uM2 dev_roll,uM2 Timestamp,uMyo3,uM3 d1,uM3 d2,uM3 d3,uM3 d4,uM3 d5,uM3 d6,uM3 d7,uM3 ds0,uM3 ds1,uM3 ds2,uM3 ds3,uM3 ax,uM3 ay,uM3 az,uM3 dev_yaw,uM3 dev_pitch,uM3 dev_roll,uM3 Timestamp,uMyo4,uM4 d1,uM4 d2,uM4 d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31528,30560,30588,30080,31060,1206,16411,-1529,-2356,0,-713,1709863196.9501357,0,17480,17492,17460,17457,17457,17476,17506,17519,8775,110,30,34,-6369,-14403,6190,0,0,0,1709863196.9559875,1,17561,17555,17530,17511,17519,17526,17527,17526,9183,74,49,12,287,-15828,5083,0,0,0,1709863196.9559875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31500,30496,30568,30048,31040,448,17357,-1029,-2361,0,-717,1709863197.0025659,0,17623,17626,17615,17631,17713,17798,17838,17846,10618,500,128,130,-4475,-14192,6613,0,0,0,1709863197.0185783,1,17557,17551,17533,17521,17528,17534,17520,17534,9206,52,43,12,1445,-15489,4023,0,0,0,1709863197.0185783,2,12479,12503,12497,12489,12495,12505,12510,12493,34435,22,42,19,-2538,15905,-173,0,0,0,1709863197.0185783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31528,30592,30556,30188,31008,2311,16603,-2664,-2385,0,-740,1709863197.0988538,0,18156,18187,18242,18254,18234,18217,18192,18148,14558,202,44,18,-5663,-14538,6087,0,0,0,1709863197.1143906,1,17552,17558,17557,17522,17542,17558,17584,17601,9402,105,47,54,896,-16017,4953,0,0,0,1709863197.1143906,2,12536,12544,12547,12562,12571,12559,12562,12549,34894,57,8,20,-2865,16303,-864,0,0,0,1709863197.1143906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31508,30540,30528,30140,31008,1595,16543,-2123,-2373,0,-727,1709863197.1970043,0,18528,18538,18530,18514,18562,18615,18669,18652,17536,291,109,78,-5749,-14401,7251,0,0,0,1709863197.2122278,1,17782,17780,17764,17782,17784,17770,17778,17781,11149,7,27,23,1015,-15728,4356,0,0,0,1709863197.2122278,2,12578,12572,12569,12576,12565,12546,12527,12552,34949,78,48,13,-1836,16097,-635,0,0,0,1709863197.2122278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31480,30520,30520,30100,30996,2453,15676,-2532,-2387,0,-737,1709863197.2977962,0,18398,18389,18359,18377,18400,18401,18402,18399,16053,67,39,21,-6011,-14266,6985,0,0,0,1709863197.313577,1,17869,17788,17788,17851,17837,17824,17816,17846,11547,50,132,61,1379,-15966,4797,0,0,0,1709863197.313577,2,12638,12658,12612,12551,12542,12578,12558,12510,35111,186,175,75,-688,15774,-930,0,0,0,1709863197.313577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29328,30188,30604,30168,31036,4081,13570,-2545,-2366,0,-714,1709863197.4088647,0,17810,17855,17904,17881,17879,17962,18050,18134,12403,402,330,203,-5636,-13751,6185,0,0,0,1709863197.4245725,1,18142,18124,18114,18114,18172,18298,18391,18377,14660,586,203,98,502,-15274,4496,0,0,0,1709863197.4245725,2,12487,12617,12560,12468,12362,12283,12266,12287,33794,698,146,72,-2688,16524,243,0,0,0,1709863197.4245725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28872,29608,30648,30160,31064,3464,16045,-3935,-2370,0,-718,1709863197.516278,0,17372,17388,17419,17452,17480,17544,17562,17527,8672,348,137,54,-6496,-15014,6227,0,0,0,1709863197.5322304,1,18399,18408,18387,18351,18282,18235,18249,18251,15490,371,60,85,1008,-16010,5655,0,0,0,1709863197.5322304,2,12692,12766,12787,12659,12358,12153,12228,12318,34424,1341,67,182,-2752,16566,-683,0,0,0,1709863197.5322304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31516,29844,30624,30152,31092,266,15208,-1480,-2348,0,-694,1709863197.6168783,0,17741,17753,17775,17778,17663,17534,17439,17397,10008,761,220,211,-5141,-13950,6418,0,0,0,1709863197.6340015,1,18743,18761,18748,18696,18575,18486,18435,18426,17798,719,183,179,870,-15051,4664,0,0,0,1709863197.6340015,2,12296,11958,11839,11849,11934,12231,12838,13260,32669,2481,1022,482,-1578,16116,-2583,0,0,0,1709863197.6340015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31820,26004,30580,30172,31100,1146,15847,-814,-2334,0,-678,1709863197.7213063,0,18143,18325,18228,18000,17859,17798,17850,17819,12950,1025,313,128,-3188,-14044,6822,0,0,0,1709863197.7370064,1,18159,18292,18325,18307,18355,18462,18543,18480,15851,499,355,199,2379,-15019,3504,0,0,0,1709863197.7370064,2,13015,12227,11710,11885,12177,12283,12089,11821,31670,840,1608,999,-1342,16510,-930,0,0,0,1709863197.7370064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31700,26020,30548,30116,30972,2736,18453,-4696,-2352,0,-692,1709863197.8290775,0,18225,18163,18135,18150,18165,18181,18189,18168,14304,99,70,66,-4407,-15048,6760,0,0,0,1709863197.8443868,1,18011,18030,18042,17999,17994,17967,17943,17957,12871,176,45,24,2396,-16792,4631,0,0,0,1709863197.8443868,2,12375,12381,12431,12437,12484,12580,12634,12615,34401,485,225,113,-2463,17070,-1650,0,0,0,1709863197.8443868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
