uLabel,h1,h2,h3,h4,h5,ax,ay,az,uL dev_yaw,uL dev_pitch,uL dev_roll,uL Timestamp,uMyo1,uM1 d1,uM1 d2,uM1 d3,uM1 d4,uM1 d5,uM1 d6,uM1 d7,uM1 d8,uM1 ds1,uM1 ds2,uM1 ds3,uM1 ds4,uM1 ax,uM1 ay,uM1 az,uM1 dev_yaw,uM1 dev_pitch,uM1 dev_roll,uM1 Timestamp,uMyo2,uM2 d1,uM2 d2,uM2 d3,uM2 d4,uM2 d5,uM2 d6,uM2 d7,uM2 d8,uM2 ds1,uM2 ds2,uM2 ds3,uM2 ds4,uM2 ax,uM2 ay,uM2 az,uM2 dev_yaw,uM2 dev_pitch,uM2 dev_roll,uM2 Timestamp,uMyo3,uM3 d1,uM3 d2,uM3 d3,uM3 d4,uM3 d5,uM3 d6,uM3 d7,uM3 d8,uM3 ds1,uM3 ds2,uM3 ds3,uM3 ds4,uM3 ax,uM3 ay,uM3 az,uM3 dev_yaw,uM3 dev_pitch,uM3 dev_roll,uM3 Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31560,30392,30556,29692,28740,39,-198,16845,-149,0,216,1709870367,0,12021,12047,12017,12056,12073,12061,12001,11912,30652,196,159,96,13545,9890,-1284,0,0,0,1709870367,1,17917,17887,17807,17698,17693,17734,17759,17810,11233,418,121,41,11446,-12635,4498,0,0,0,1709870367,2,17653,17719,17747,17723,17788,17847,17854,17805,11064,305,164,110,5789,-10715,-11629,0,0,0,1709870367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31600,30444,30484,29772,30212,39,-198,16845,-149,0,216,1709870368,0,11662,11578,11523,11448,11456,11492,11540,11595,26758,375,61,48,12146,12776,-4061,0,0,0,1709870368,1,17027,17097,17178,17206,17255,17294,17259,17165,6409,440,156,66,8525,-13578,7423,0,0,0,1709870368,2,16737,16592,16479,16487,16585,16714,16812,16972,2306,864,156,142,7968,-13310,-9096,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31508,30516,30500,29988,30976,39,-198,16845,-149,0,216,1709870368,0,11878,11919,11953,12005,12080,12151,12132,12052,30634,502,127,73,14006,10344,-3606,0,0,0,1709870368,1,17790,17860,17867,17776,17707,17709,17698,17700,11035,356,115,31,10233,-10209,6351,0,0,0,1709870368,2,17681,17748,17809,17850,17895,17880,17791,17773,11355,362,24,87,6119,-9167,-11115,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31520,30564,30484,30104,31036,39,-198,16845,-149,0,216,1709870368,0,12188,12200,12105,12060,12161,12191,12195,12180,31744,205,158,65,13651,5962,-2119,0,0,0,1709870368,1,18190,18177,18158,18154,18261,18299,18355,18304,14826,392,64,90,11667,-7863,4249,0,0,0,1709870368,2,18529,18569,18601,18605,18677,18671,18639,18741,17960,240,111,215,5408,-6125,-11979,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31476,30460,30516,30008,30968,39,-198,16845,-149,0,216,1709870368,0,12259,12374,12368,12350,12227,12205,12255,12232,32734,323,137,90,11616,6622,-5115,0,0,0,1709870368,1,21129,20988,20964,20890,20887,20913,20902,20831,36432,297,234,232,13058,-8520,6384,0,0,0,1709870368,2,18712,18673,18719,18669,18687,18746,18846,18903,18883,371,225,126,9744,-7535,-10973,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31568,30472,30572,28756,29124,39,-198,16845,-149,0,216,1709870368,0,12878,12915,12797,12688,12733,12810,12728,12762,36774,286,288,50,11769,5365,-5008,0,0,0,1709870368,1,15287,15310,15306,15288,15349,15502,15625,15574,57705,657,299,129,13694,-7519,6135,0,0,0,1709870368,2,19022,19164,19300,19384,19303,19074,18979,18961,22115,856,116,61,9989,-5808,-11132,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31552,30516,30528,29448,30120,39,-198,16845,-149,0,216,1709870368,0,11994,11968,11970,11903,11817,11762,11839,11894,29611,424,67,43,12991,6247,-7609,0,0,0,1709870368,1,16980,16960,17078,17118,17078,17084,17170,17232,5628,280,360,118,13213,-7545,9271,0,0,0,1709870368,2,16519,16466,16526,16576,16624,16451,16494,16517,1101,160,214,76,11674,-6652,-10462,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31512,30512,30624,27728,31004,39,-198,16845,-149,0,216,1709870368,0,12346,12193,12080,12094,12153,12216,12256,12266,32068,433,170,95,12017,5246,-10041,0,0,0,1709870368,1,20601,20551,20491,20442,20430,20479,20587,20617,33126,384,55,23,14005,-5633,10639,0,0,0,1709870368,2,17243,17119,17072,17086,17184,17288,17267,17162,6349,368,181,126,14044,-6138,-9757,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31556,30528,30800,26184,30960,39,-198,16845,-149,0,216,1709870368,0,12057,12160,12193,12207,12076,12093,12064,12230,31544,166,221,128,11133,4473,-10277,0,0,0,1709870368,1,18521,18528,18480,18558,18614,18580,18465,18351,17025,302,275,130,12334,-4297,11291,0,0,0,1709870368,2,18612,18559,18369,18242,18299,18366,18406,18375,16156,543,336,114,13388,-5189,-8170,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31476,30548,30508,29208,31080,39,-198,16845,-149,0,216,1709870368,0,11820,11779,11778,11794,11838,11929,11797,11837,29036,181,113,130,10197,4443,-10359,0,0,0,1709870368,1,17285,17337,17237,17305,17271,17129,17112,17231,6835,342,218,109,9736,-3294,12425,0,0,0,1709870368,2,18048,18157,18206,18044,18065,17959,18033,18125,13565,312,136,232,13065,-4584,-6778,0,0,0,1709870368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
